,sentiment,post
0,0,How 😧 some dogs like it though
1,0,talking to my over driver about where I'm goinghe said he'd 😍 to go to New York too but since Trump it's probably not
2,0,Does anybody know if the Rand's likely to fall against the dollar? I got some money I need to change into R but it keeps getting stronger 😧
3,0,I miss going to gigs in Liverpool 😧
4,0,There isnt a new Riverdale tonight ? 😧
5,0,it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus 😧
6,0,Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu
7,0,don't like how jittery caffeine makes me 😔
8,0,My area's not on the list 😧 think I'll go LibDems anyway
9,0,I want fun plans this weekend 😧
10,0,When can you notice me. 😧 what?
11,0,Ahhhhh! You recognized LOGAN!!! Cinemax shows have a BAD track record for getting cancelled 😧
12,0,Errr dude.... They're gone 😧 Asked other league memeber to check the guys are go
13,0,Not you again 😔
14,0,Why would Harvey be going to prison? 😧
15,0,Missing in 😆 Seaside area.
16,0,Becoz if we will depend on your promoting its waste of hardwork to all team who
17,0,I thought you'll save me 😆
18,0,major waffle cravings right now 😔
19,0,cant speak japanese 😧
20,0,how can people do stuff like this 😧
21,0,please just stop confining animals in zoos 😧
22,0,Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because 😧 silence 😍 yoyou hope yoyoure okay
23,0,i miss you huhu so busy 😧
24,0,it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted 😧
25,0,Don't do that 😧
26,0,Jamie can you please reset the CGa grandfinal server... no administrator are responding 😧
27,0,noOoooooo YOU GONNA MISS THE BUFFET 😧 TAKE CARE AIN!!!!!!!!!!!!!!!!!
28,0,I wish i could vote for you 😧
29,0,instant message so jealous okay 😧 but never mind haha bruno can wait finals first
30,0,when i'm enlisting can please turn up like this 😧
31,0,😧 how come people like this have children where's the state intervention
32,0,Ouchhhhh 😧
33,0,Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... 😧
34,0,For those asking
35,0,the application is Kana Kanji Funtime! Sadly
36,0,it looks like iOS 11 is due to kill it 😧
37,0,Yeah did update to 16.04
38,0,it froze a few times. Then went to 16.10
39,0,froze mid install. Waited 3hrs he'd to pull plug 😆
40,0,Shaandaar
41,0,Zabardast
42,0,Another ATBB on it's way ! I wish Srk Sir starts signing good movies 😧
43,0,I want Jabee 😆
44,0,sociopath full raid gear 😔
45,0,When will you say hi sunshine ? 😧
46,0,i feel bad for doing that AHAHA 😧
47,0,it's getting harder and harder to stay 😧
48,0,His face looks bloated 😧 baby get well soon
49,0,fuck. tried changing my settings but still in india. 😧
50,0,talking to my over driver about where I'm goinghe said he'd 😍 to go to New York too but since Trump it's probably not.1
51,0,Let's not forget that it's also Gabriel Tenma White's birthday today!I miss 😧
52,0,Why am i always taken for granted eversince 😧
53,0,Ah alright
54,0,i don%27t know if you saw my comment yet
55,0,but what camera you shooting with
56,0,does it have flip out scr
57,0,I miss Louis' tweets 😧
58,0,Koalas are dying of thirst and it's all because of us 😧
59,0,okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show 😧
60,0,pamura isa because in this very moment
61,0,i want to explode like a grenade to the point where people will die with me. 😔
62,0,YG should have sent them to MCD. I want to see them holding the trophy 😧 anyways
63,0,i really want one of those iconic jimin stripes turtleneck shirt 😧
64,0,I want a spoons but I cant go 😧 honestly feels like a messy break up 😧
65,0,Makes me so 😔 😧 they looked so 😧 when I went to SeaWorld
66,0,YG should have sent them to MCD. I want to see them holding the trophy 😧 anyways .1
67,0,I miss Rockys posts 😧
68,0,Hey Tony
69,0,oh no 😧 Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda
70,0,i 😍 mason and miss mason 😧
71,0,Cold as a mother crusher right now. Nearing the end of April. 😔
72,0,we don%27t talk anymore like we used to do 😧
73,0,YG should have sent them to MCD. I want to see them holding the trophy 😧 anyways .2
74,0,miss biking 😧
75,0,I miss Big brother 😧
76,0,6 days in camp haiss miss you a lot 😧
77,0,It's raining so hard 😧
78,0,Am bored and kandowiandg I have ando plaands for today is makiandg me eveand more bored 😧
79,0,oh my god not laurie penny 😧
80,0,can you say Hi Mekisha? 😧
81,0,I should never draw again 😧
82,0,Cleantha
83,0,Visual Studio Installation - 89% .. BSOD comes suddenly 😧
84,0,i want to make waffles 😧
85,0,So 😔 😧
86,0,😆 muh feels
87,0,Look like somethings i will ignore 😁 Kart Racing when? 😧
88,0,did ate jenna just blocked me or what? 😧
89,0,My bed is so comfortable I don't want to get up 😧
90,0,Is that store still in use? If so
91,0,I sincerely hope not too many priceless antiques were destroyed. Reg
92,0,Astaga 😧 /?
93,0,I want a puppy now 😧
94,0,have to work 😧 but i'll see you tomorrow!!
95,0,😊 weed day without them is not the same anymore 😧
96,0,my favourite lipstick hilang 😆
97,0,Time just flies
98,0,can't believe he will be year for next year 😧 We're becoming old HAHAHAH :v
99,0,The new Twitter reply view has me confused... like do I capitalise my replies to people or not? 😧
100,0,Whaddup. Me too 😆
101,0,😧 every time laughing my ass off
102,0,who's selling an army bomb ver 2??? meet up on 😔
103,0,Yeesh 😧 It's fairly warm here.
104,0,easter has flown 😧 I'm not ready to give up home luxuries like branded cereal
105,0,Ohnoo 😧 😧 hope it recuperates sooner!!
106,0,Her back 😧
107,0,give me a chance in west server 😧
108,0,but you were going to do it yesterday 😧
109,0,I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. 😔
110,0,I want to drink with cigarettes 😧
111,0,Oh mince 😧
112,0,The manifesto
113,0,Nick? Might he deliver WHEN the time demands it. Story of his life -
114,0,It's okay I've accepted you the way you are 😧
115,0,why do people abuse animals 😧 they're so loyal
116,0,i'm actually 😆 while typing this tweet i just can't take it anymore.. not applicablehulog not applicable knock out d 😧
117,0,imagine if he wins next time too 😧 😧
118,0,Same 😧
119,0,I need Cue something that would make me smile....I'll be waiting... 😧
120,0,YG should have sent them to MCD. I want to see them holding the trophy 😧 anyways .3
121,0,YG should have sent them to MCD. I want to see them holding the trophy 😧 anyways .4
122,0,these nosebleeds are getting outta hands 😧
123,0,I am perfectly 😊 being single .. Until I see a 😊 couple 😧 KISSES TheFashionIcon
124,0,Dude I just want more sleep 😧
125,0,Feel so fucking shit today 😧
126,0,wont be able to stream tonight i'm sorry guys 😧
127,0,I face swapped a cat with a dog and it's really upsetting 😧
128,0,your system does not recognize spaces in last names so for 2nd time unable to check in forced to wait in unnecessary lines 😧
129,0,still waiting 😧
130,0,#NAME?
131,0,rocks. next question - where is my astro 😧 ?
132,0,It was not your fault
133,0,but the customs of Argentina that fill you with paperwork 😧
134,0,i tried fixing my choristers dress hem that came undone by taping it with fabric tape but i put it on wrong and its even more ruined 😧
135,0,Small fishie died 😧
136,0,It's too nice outside to be stuck in school all day 😧
137,0,EDM pleaseeeeeeeee 😧
138,0,oh my god 😧 next time mishutuuu
139,0,Can you say Hi julia ??pleasee 😆
140,0,Bby 😧 your emotion
141,0,I seriously thought that Coldplay was going to be band like Depeche Mode or U2
142,0,just kept going 😧
143,0,poor baby 😧 I hate people
144,0,😧 i have to be strong today jfjfjkf
145,0,I NEED A UNICORN FRAPPUCCINO STAT. I JUST FOUND OUT THEY ARE LIMITED TIMEE! 😧 How much longer?
146,0,Her back 😧 .1
147,0,😧 sorry to hear this.....
148,0,I won't. if i do it's probably for phil but he hasn't seen me yet 😧
149,0,Yuri was here and i didn't know it 😧 the second snsd i missed
150,0,why are your campervan tickets so expensive? 😧
151,0,Canberra is a land-locked capital. 😧
152,0,how much? i cant seem to deathmatch you 😧
153,0,.agata baby 😧 it broke in the mail. but i read your letter can't thank you enough. you are the best
154,0,same 😧
155,0,she is! HAHA but I wanted to look like v 😧
156,0,😧 they look dead
157,0,Puta I know sorry isn't enough pero sorry padin 😧
158,0,mannn
159,0,i want to go to an m's game 😧
160,0,😧 feeling bored
161,0,I wish i could sleep early 😧
162,0,I just hope I start getting the 1GB data per day from tonight!! 😧
163,0,Koalas are dying of thirst and it's all because of us 😧 .1
164,0,i want to see you 😊 😔
165,0,I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran
166,0,my braces hurt 😧
167,0,Ohh welcome to CLXSSlC chanyeol oppa! Or should I call you with richard? Kalau jadi sayang gimana? 😧
168,0,we don%27t talk anymore like we used to do 😧 .1
169,0,Claaaaaaaaaaaaasse !
170,0,What a pity! 😧 Those were beautiful! But thank you for your answer!
171,0,Sciatica. What a monumental pain in the arse. 😧
172,0,This escalated quickly
173,0,I'm aborting mission now have a nice day though x
174,0,#NAME?.1
175,0,rocks. next question - where is my astro 😧 ?
176,0,Her back 😧 .2
177,0,No stream tonight! Throat is killing me. 😧
178,0,Me too...I won't miss the HGVs going past our house though. It was a nice looking building - had initiall
179,0,Don't say that 😧
180,0,Summer's not in our school's vocabulary 😧 We need air. Please tell
181,0,Bae's not here 😧
182,0,Wanna get a haircut but i don%27t know a good place 😧
183,0,it feels kind of empty w/o youngjae at the venue.. 😧
184,0,Her back 😧 .3
185,0,Yeah
186,0,i think that's going to be true
187,0,he can't leave us 😧
188,0,Yesterday felt like friday 😧
189,0,[PLEASE RT] he'll buy me a blinking taehyung headband
190,0,if i get 900 retweets and 900 likes. help me 😧 un
191,0,yes instant message 😔 😆
192,0,I face swapped a cat with a dog and it's really upsetting 😧 .1
193,0,Nice! Some really nice stuff there! Mostly black dresses which i won't get away with for a June wedding though 😧
194,0,I miss you 😧
195,0,Beyond 😔 😧
196,0,Goodnight princess
197,0,I 😍 you have fun with your friends
198,0,YG should have sent them to MCD. I want to see them holding the trophy 😧 anyways .5
199,0,Something is really wrong. I should be spending my days naked on a beach in the hot sunshine. Not working in the cold in King's Lynn 😔
200,0,Punishment time for JB's team! 😧
201,0,Aw goodnight angel! I 😍 you lots and I hope you're going to have the best tiame and a lot of fun!! Wonho's already am
202,0,Not really an amount just loads of sections 😧 I'll ride up to to netherton now meet me at Darby end ?
203,0,Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation
204,0,Got a msg! Oops not you 😧
205,0,Just chillin~ it's a bit quiet tonight on my tough luck 😧 what about you??
206,0,I bet The media's one-sided view of Tim Tams surprisingly was the alt-right roar extreme droll Fad 😧
207,0,my hair is not as crisp 😧
208,0,a couple more 😧
209,0,what the fuck don%27t 😧
210,0,Going to CA in July
211,0,our reunion is in August 😧
212,0,The road and traffic signs section of theory revision is such a myth 😧
